Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2020-01-02,153.04226684570312,153.14707784853206,150.8603108363314,151.28907783375524,22622100
2020-01-03,151.13662719726562,152.40388225400224,150.60304918156822,150.85079221664952,21116200
2020-01-06,151.52731323242188,151.59401776506908,149.12619721864283,149.6693128510685,20813700
2020-01-07,150.14573669433594,152.1371317710887,149.89800813543405,151.8036526962878,21634100
2020-01-08,152.53732299804688,153.21383324803998,150.498283797712,151.43204560824276,27746500
2020-01-09,154.44293212890625,154.56680365550426,153.43294301978545,154.20472660170185,21385000
2020-01-10,153.7283477783203,155.51965837091927,153.57589271960666,155.13853526304973,20725900
2020-01-13,155.57681274414062,155.605396247963,153.652107766259,154.12851888184957,21626500
2020-01-14,154.4810333251953,155.88168280847668,154.0903728213882,155.68158379418946,23477400
2020-01-15,155.48153686523438,156.2056911224707,154.90032921611618,154.94795870026942,21417900
2020-01-16,158.3304901123047,158.3971946563087,156.2914508396522,156.5963609741012,23865400
2020-01-17,159.21661376953125,159.56915337167442,157.62538771805643,159.52150934840557,34371700
2020-01-21,158.64492797851562,160.25520014428386,158.57822343251772,158.81642903008304,29517200
2020-01-22,157.88265991210938,159.5882200541892,157.86359939428255,159.50245499342603,24138800
2020-01-23,158.85450744628906,158.93073496172778,157.47291825887828,158.34951287805555,19680800
2020-01-24,157.25376892089844,159.62630142430766,156.69160731427516,159.6072409094811,24918100
2020-01-27,154.62399291992188,155.67210320610195,152.64212090354462,153.5472991294745,32078100
2020-01-28,157.6539764404297,157.93981148531094,155.37673183642173,156.05322749452574,24899900
2020-01-29,160.11224365234375,160.78875384341436,157.87312009994662,159.92168211112687,34754500
2020-01-30,164.62863159179688,165.83871995253386,162.73251002961166,165.83871995253386,51597500
2020-01-31,162.19894409179688,164.26656684053623,161.5796153816874,164.0855428072583,36142700
2020-02-03,166.1531219482422,166.26745594744494,162.36087953368826,162.38946303348897,30107000
2020-02-04,171.62232971191406,172.11780132594467,167.99207946247816,168.782923631767,36433300
2020-02-05,171.41268920898438,175.5098271284707,169.99299359122742,175.34784911686342,39186300
2020-02-06,174.96670532226562,175.14774382519033,171.56512386561025,172.43219535913923,27751400
2020-02-07,175.2144775390625,176.87239343667386,173.87099471887296,174.22354882690465,33529100
2020-02-10,179.7975311279297,179.93092564316706,174.6046534819514,174.9190865262063,35844300
2020-02-11,175.73854064941406,181.70320278638292,174.84288539527742,181.6555587654134,53159900
2020-02-12,175.99578857421875,177.0820052612557,173.27071659952438,176.82473920569333,47062900
2020-02-13,175.04295349121094,177.4440547028916,174.24257188173937,174.4426709188351,35295800
2020-02-14,176.6056365966797,176.66280361411037,174.03300450097177,174.6047037531104,23149500
2020-02-18,178.3968963623047,178.84472395923498,176.748518027873,176.85332905138674,27792200
2020-02-19,178.93191528320312,179.79179157907453,178.15802370119442,179.67714529392427,29997500
2020-02-20,176.19943237304688,178.90328619149076,173.027429752833,178.61665584795566,36862400
2020-02-21,170.6292724609375,175.3204106535895,169.34900702097406,175.00511879235276,48572600
2020-02-24,163.27256774902344,166.76942653548105,155.95400919471123,160.2916465952577,68311100
2020-02-25,160.57826232910156,167.04647809888743,160.17697106093158,166.43500677501711,68073300
2020-02-26,162.58462524414062,165.53688417349048,160.71200092942902,162.14513803050656,56206100
2020-02-27,151.1291046142578,159.58462086274108,150.93802254880737,156.0400026259598,93174900
2020-02-28,154.788330078125,156.41256351779523,145.224535334962,145.6162629094059,97012700
2020-03-02,165.0878448486328,165.21205473784656,155.07499702232786,157.94127142356453,71030800
2020-03-03,157.1768798828125,167.19928817667807,155.02717474911236,166.05278168776218,71677000
2020-03-04,162.9477081298828,163.09101602333493,158.23745612386801,160.9795353071351,49814400
2020-03-05,158.8584747314453,163.2534197641911,158.30432663584648,158.648280123507,47817300
2020-03-06,154.3679962158203,155.83934403403944,149.0462729344585,155.36163162078796,72821100
2020-03-09,143.9060516357422,150.71823384322937,143.31369303635122,144.26911765659355,70419300
2020-03-10,153.74693298339844,153.85203027808083,145.77869489842615,151.10996619676231,65354400
2020-03-11,146.78192138671875,150.67049286628202,144.4124573102769,150.12590829373858,56371600
2020-03-12,132.86135864257812,146.62903229571248,132.40275886102268,138.82321411729578,93226400
2020-03-13,151.75009155273438,154.6928010815191,134.4569003945856,140.92512904354783,92727400
2020-03-16,129.38357543945312,142.69264542058067,128.98229892556355,133.7594211079918,87905900
2020-03-17,140.0365753173828,140.92511310054996,128.9823069055881,133.75942938357286,81059800
2020-03-18,134.14161682128906,139.49200076424364,129.00144204905686,131.8486034620933,81593200
2020-03-19,136.3486785888672,143.4570268009298,132.8040461931456,136.40600174385253,85922700
2020-03-20,131.2275848388672,140.5429754127465,129.8039968259391,139.49200243962864,84866200
2020-03-23,129.9186553955078,134.3040661443452,126.61289387434711,130.90274173665898,78975200
2020-03-24,141.72772216796875,142.93156683832092,134.9728758964577,137.3423254995829,82516700
2020-03-25,140.37100219726562,147.45070307732973,138.00155290473782,142.2723026936915,75638200
2020-03-26,149.1513214111328,149.6768078093719,141.75633042707474,141.78499199619498,64568100
2020-03-27,143.02706909179688,147.9857254238358,142.54935676044244,144.9856925660748,57042300
2020-03-30,153.08770751953125,153.44122459952303,143.32326515890932,145.6449549415778,63420300
2020-03-31,150.6800537109375,157.43489955967067,149.58130642853416,152.29470939927032,77927200
2020-04-01,145.32965087890625,150.71824557331107,144.09715943746545,146.1799782739562,57969900
2020-04-02,148.33921813964844,148.54941271792683,143.65764343135137,145.09078033127363,49630700
2020-04-03,146.9729766845703,150.36473713146398,145.4060808307808,148.18637008055234,41243300
2020-04-06,157.90306091308594,159.07822933607605,150.55584186222103,153.17371106476554,67111700
2020-04-07,156.20237731933594,162.42218638494947,155.9826191587949,162.03045878950454,62769000
2020-04-08,157.7693328857422,159.24068095221938,156.21198549061353,158.2852559645092,48318200
2020-04-09,157.77882385253906,159.90941670943448,156.0495075934475,158.9444430750935,51385100
2020-04-13,158.13232421875,158.1896619422146,155.0654193407315,157.02404273502208,41905300
2020-04-14,165.95724487304688,166.00501901726545,160.5113277404351,161.46675231031864,52874300
2020-04-15,164.21839904785156,165.83306909340988,161.69607846989396,163.5687026830469,40940800
2020-04-16,169.1483917236328,169.37769891247757,165.19293383246543,166.5305372327894,50479600
2020-04-17,170.63890075683594,171.97648984641253,168.03058016422008,171.49877737461694,52765600
2020-04-20,167.2566375732422,170.7821568785883,167.18976542835566,168.75666127755133,36669600
2020-04-21,160.33938598632812,165.92861193754004,158.70560327528187,165.7661914820646,56203700
2020-04-22,165.78529357910156,166.2438933407857,163.20564987402096,163.75023435752894,34620200
2020-04-23,163.77891540527344,167.25666105035813,163.2916540117112,166.34901041750675,32790800
2020-04-24,166.76937866210938,166.77892766048188,163.1005514370253,164.3903659912412,34277600
2020-04-27,166.29165649414062,169.0146078888716,165.5750880357447,168.7184285919809,33194400
2020-04-28,162.2406463623047,167.83943501065198,161.83936978624703,167.76299929445688,34392700
2020-04-29,169.52098083496094,169.75983698644703,164.21838593486802,165.498651407964,51286600
